,Date,Home Score,Home Team,Line,Line ,Visitor,Visitor Score
327,10/07/1978,15.0,West Virginia,0.0,,Syracuse,31.0
328,10/07/1978,17.0,New Mexico State, ,,Texas-Arlington,28.0
329,10/07/1978,42.0,Arkansas,34.0,,Texas Christian,3.0
330,10/07/1978,22.0,William + Mary, ,,Temple,22.0
331,10/07/1978,38.0,Texas A+M,19.0,,Texas Tech,9.0
332,10/07/1978,3.0,Vanderbilt,-1.5,,Tulane,38.0
333,10/07/1978,9.0,Iowa, ,,Utah,13.0
334,10/07/1978,39.0,Colorado State, ,,UTEP,29.0
335,10/07/1978,7.0,Brigham Young, ,,Utah State,24.0
336,10/07/1978,20.0,Duke,20.5,,Virginia,13.0
337,10/07/1978,38.0,Clemson,14.0,,Virginia Tech,7.0
338,10/07/1978,14.0,Purdue,17.0,,Wake Forest,7.0
339,10/07/1978,48.0,Drake, ,,Wichita State,22.0
340,10/07/1978,0.0,Kent State, ,,Western Michigan,14.0
341,10/07/1978,36.0,Furman, ,,Wofford,12.0
342,10/14/1978,24.0,Southern Illinois, ,,Arkansas State,26.0
343,10/14/1978,28.0,Lenoir-Rhyne, ,,Appalachian State,49.0
344,10/14/1978,7.0,Vanderbilt,-11.0,,Auburn,49.0
345,10/14/1978,17.0,Louisiana Tech, ,,Ball State,7.0
346,10/14/1978,9.0,Tulane,9.0,,Boston College,3.0
347,10/14/1978,16.0,Oregon,-6.5,,Brigham Young,17.0
348,10/14/1978,20.0,Arizona,0.0,,California,33.0
349,10/14/1978,16.0,Temple, ,,Cincinnati,13.0
350,10/14/1978,38.0,Western Carolina, ,,The Citadel,24.0
351,10/14/1978,14.0,Virginia,-20.0,,Clemson,30.0
352,10/14/1978,14.0,Villanova, ,,Colgate,20.0
353,10/14/1978,24.0,Oklahoma State,-10.5,,Colorado,20.0
354,10/14/1978,10.0,Rutgers, ,,Connecticut,0.0
355,10/14/1978,20.0,Harvard,4.0,,Cornell,25.0
356,10/14/1978,13.0,Air Force,-1.0,,Colorado State,31.0
357,10/14/1978,13.0,Indiana State, ,,Drake,0.0
358,10/14/1978,31.0,Navy,3.5,,Duke,8.0
359,10/14/1978,17.0,Southern Miss, ,,East Carolina,16.0
360,10/14/1978,23.0,Alabama,24.0,,Florida,12.0
361,10/14/1978,55.0,Mississippi State,-1.5,,Florida State,27.0
362,10/14/1978,14.0,East Tennessee St, ,,Furman,35.0
363,10/14/1978,17.0,Louisiana State,7.0,,Georgia,24.0
364,10/14/1978,30.0,Nevada-Las Vegas, ,,Hawaii,20.0
365,10/14/1978,0.0,Army,3.5,,Holy Cross,31.0
366,10/14/1978,26.0,Missouri,7.0,,Iowa State,13.0
367,10/14/1978,45.0,Central Michigan, ,,Illinois State,7.0
368,10/14/1978,22.0,Minnesota,5.5,,Iowa,20.0
369,10/14/1978,28.0,Chattanooga, ,,Jacksonville St,21.0
370,10/14/1978,32.0,William + Mary, ,,James Madison,7.0
