,Bowl Name,Date,Home Score,Home Team,Line,Visitor,Visitor Score
747,,01/02/2012,17,Ohio State,-3.0,Florida,24
748,,01/02/2012,45,Oregon,4.5,Wisconsin,38
749,,01/02/2012,41,Oklahoma State,5.0,Stanford,38
750,,01/03/2012, ,Virginia Tech,-3.0,Michigan, 
751,,01/04/2012, ,Clemson,3.0,West Virginia, 
752,,01/06/2012, ,Arkansas,7.5,Kansas State, 
753,,01/07/2012, ,Pittsburgh,3.0,S-M-U, 
754,,01/08/2012, ,Northern Illinois,-1.5,Arkansas State, 
755,,01/09/2012, ,Louisiana State,-1.0,Alabama, 
756,,12/15/2012,49,Arizona,8.0,Nevada-Reno,48
757,,12/15/2012,41,Utah State,10.5,Toledo,15
758,,12/20/2012,6,San Diego State,-3.0,Brigham Young,23
759,,12/21/2012,38,U-C-F,7.0,Ball State,17
760,,12/22/2012,43,UL-Lafayette,6.5,East Carolina,34
761,,12/22/2012,28,Boise State,4.0,Washington,26
762,,12/24/2012,10,Fresno State,13.5,S-M-U,43
763,,12/26/2012,21,Western Kentucky,6.5,Central Michigan,24
764,,12/27/2012,29,San Jose State,7.0,Bowling Green,20
765,,12/27/2012,34,Duke,-9.0,Cincinnati,48
766,,12/27/2012,26,U.C.L.A.,3.0,Baylor,49
767,,12/28/2012,14,UL-Monroe,7.0,Ohio,45
768,,12/28/2012,13,Virginia Tech,0.0,Rutgers,10
769,,12/28/2012,34,Texas Tech,13.0,Minnesota,31
770,,12/29/2012,33,Rice,1.0,Air Force,14
771,,12/29/2012,62,Arizona State,12.5,Navy,28
772,,12/29/2012,38,Syracuse,-4.5,West Virginia,14
773,,12/29/2012,31,Texas,-3.0,Oregon State,27
774,,12/29/2012,17,Michigan State,-2.0,Texas Christian,16
775,,12/31/2012,38,Vanderbilt,7.5,No Carolina State,24
776,,12/31/2012,7,Southern Cal,7.5,Georgia Tech,21
777,,12/31/2012,31,Tulsa,-1.0,Iowa State,17
778,,12/31/2012,24,Louisiana State,6.0,Clemson,25
779,,01/01/2013,58,Oklahoma State,17.5,Purdue,14
780,,01/01/2013,20,Mississippi State,-1.5,Northwestern,34
781,,01/01/2013,33,South Carolina,5.5,Michigan,28
782,,01/01/2013,45,Georgia,9.5,Nebraska,31
783,,01/01/2013,20,Stanford,4.0,Wisconsin,14
784,,01/01/2013,31,Florida State,14.0,Northern Illinois,10
785,,01/02/2013,23,Florida,14.5,Louisville,33
786,,01/03/2013,35,Oregon,8.0,Kansas State,17
787,,01/04/2013,13,Oklahoma,-3.0,Texas A+M,41
788,,01/05/2013,38,Mississippi,4.5,Pittsburgh,17
789,,01/06/2013,13,Kent State,-2.5,Arkansas State,17
790,,01/07/2013,14,Notre Dame,-9.5,Alabama,42
791,,12/21/2013,45,Washington State,4.0,Colorado State,48
792,,12/21/2013,20,Fresno State,-4.5,Southern Cal,45
793,,12/21/2013,49,San Diego State,0.0,Buffalo,24
794,,12/21/2013,21,Tulane,2.5,UL-Lafayette,24
795,,12/23/2013,37,East Carolina,14.0,Ohio,20
796,,12/24/2013,23,Boise State,-3.0,Oregon State,38
797,,12/26/2013,27,Bowling Green,6.5,Pittsburgh,30
798,,12/26/2013,14,Northern Illinois,-2.5,Utah State,21
799,,12/27/2013,20,Maryland,-2.5,Marshall,31
800,,12/27/2013,17,Minnesota,3.5,Syracuse,21
801,,12/27/2013,16,Brigham Young,-6.0,Washington,31
802,,12/28/2013,29,Notre Dame,14.5,Rutgers,16
803,,12/28/2013,39,North Carolina,3.0,Cincinnati,17
804,,12/28/2013,36,Louisville,5.5,Miami-Florida,9
805,,12/28/2013,31,Kansas State,7.0,Michigan,14
806,,12/30/2013,24,Navy,7.0,Middle Tennessee,6
807,,12/30/2013,17,Georgia Tech,-2.5,Mississippi,25
808,,12/30/2013,30,Oregon,14.0,Texas,7
809,,12/30/2013,23,Arizona State,15.0,Texas Tech,37
810,,12/31/2013,42,Arizona,7.0,Boston College,19
811,,12/31/2013,42,U.C.L.A.,7.5,Virginia Tech,12
812,,12/31/2013,7,Rice,-7.5,Mississippi State,44
813,,12/31/2013,52,Texas A+M,13.0,Duke,48
814,,01/01/2014,19,Georgia,9.5,Nebraska,24
815,,01/01/2014,36,North Texas,5.5,Nevada-Las Vegas,14
816,,01/01/2014,34,South Carolina,0.0,Wisconsin,24
817,,01/01/2014,21,Louisiana State,7.5,Iowa,14
818,,01/01/2014,20,Stanford,7.5,Michigan State,24
819,,01/01/2014,42,Baylor,17.0,U-C-F,52
820,,01/02/2014,31,Alabama,16.5,Oklahoma,45
821,,01/03/2014,41,Missouri,-2.5,Oklahoma State,31
822,,01/03/2014,35,Ohio State,3.0,Clemson,40
823,,01/04/2014,41,Vanderbilt,2.0,Houston,24
824,,01/05/2014,20,Ball State,6.5,Arkansas State,23
825,,01/06/2014,34,Florida State,10.5,Auburn,31
