,Bowl Name,Date,Home Score,Home Team,Line,Visitor,Visitor Score
342,Citrus Bowl,01/01/1998,21,Florida,10.0,Penn State,6
343,Cotton Bowl,01/01/1998,23,Texas A+M,-10.0,U.C.L.A.,29
344,Rose Bowl,01/01/1998,16,Washington State,-8.0,Michigan,21
345,Sugar Bowl,01/01/1998,31,Florida State,7.0,Ohio State,14
346,Peach Bowl,01/02/1998,17,Clemson,-7.0,Auburn,21
347,Orange Bowl,01/02/1998,42,Nebraska,7.5,Tennessee,17
348,Las Vegas Bowl,12/19/1998,13,San Diego State,-7.0,North Carolina,20
349,Motor City Bowl,12/23/1998,48,Marshall,-3.5,Louisville,29
350,Aloha Bowl,12/25/1998,43,Oregon,5.5,Colorado,51
351,Oahu Bowl,12/25/1998,25,Washington,-3.5,Air Force,45
352,Insight Bowl,12/26/1998,34,Missouri,3.5,West Virginia,31
353,Music City Bowl,12/29/1998,38,Virginia Tech,5.0,Alabama,7
354,Micron PC Bowl,12/29/1998,46,Miami-Florida,7.0,No Carolina State,23
355,Alamo Bowl,12/29/1998,37,Purdue,-12.5,Kansas State,34
356,Humanitarian Bowl,12/30/1998,42,Idaho,-15.5,Southern Miss,35
357,Holiday Bowl,12/30/1998,20,Nebraska,3.0,Arizona,23
358,Liberty Bowl,12/31/1998,41,Tulane,7.0,Brigham Young,27
359,Sun Bowl,12/31/1998,19,Southern Cal,16.0,Texas Christian,28
360,Peach Bowl,12/31/1998,33,Virginia,2.0,Georgia,35
361,Independence Bowl,12/31/1998,35,Mississippi,-9.5,Texas Tech,18
362,Outback Bowl,01/01/1999,14,Kentucky,-6.5,Penn State,26
363,Gator Bowl,01/01/1999,35,Georgia Tech,1.5,Notre Dame,28
