,Date,Visitor,Visitor Score,Home Team,Home Score,Line
408,10/14/1978,Western Illinois,20.0,Northern Illinois,24.0, 
409,10/14/1978,Wisconsin,20.0,Illinois,20.0,-6.0
410,10/14/1978,West Virginia,3.0,Virginia Tech,16.0,5.0
411,10/14/1978,Yale,3.0,Dartmouth,10.0,-7.0
412,10/21/1978,Alabama,30.0,Tennessee,17.0,-15.0
413,10/21/1978,Arkansas,21.0,Texas,28.0,-3.5
414,10/21/1978,Army,7.0,Florida,31.0,17.5
415,10/21/1978,Ball State,14.0,Illinois State,7.0, 
416,10/21/1978,Baylor,24.0,Texas A+M,6.0,13.0
417,10/21/1978,Boston University,7.0,Louisville,35.0, 
418,10/21/1978,Bowling Green,7.0,Miami-Ohio,18.0, 
419,10/21/1978,Brown,21.0,Cornell,13.0,-4.0
420,10/21/1978,Chattanooga,13.0,Furman,9.0, 
421,10/21/1978,The Citadel,14.0,Appalachian State,42.0, 
422,10/21/1978,Colgate,12.0,Princeton,13.0,-1.0
423,10/21/1978,Columbia,3.0,Yale,3.0,11.0
424,10/21/1978,Dartmouth,19.0,Harvard,24.0,1.5
425,10/21/1978,Duke,8.0,Clemson,28.0,11.5
426,10/21/1978,Eastern Michigan,0.0,Western Michigan,32.0, 
427,10/21/1978,Fresno State,16.0,San Jose State,26.0, 
428,10/21/1978,Florida State,3.0,Pittsburgh,7.0,7.5
